service_id,date,exception_type
1,20230930,1
1,20231007,1
1,20231014,1
1,20231021,1
1,20231028,1
1,20231104,1
1,20231111,1
1,20231118,1
1,20231125,1
1,20231202,1
1,20231209,1
1,20231216,1
1,20231223,1
1,20231230,1
1,20240106,1
1,20240113,1
1,20240120,1
1,20240127,1
1,20240203,1
1,20240210,1
1,20240217,1
1,20240224,1
1,20240302,1
1,20240309,1
1,20240316,1
1,20240323,1
2,20231001,1
2,20231008,1
2,20231015,1
2,20231022,1
2,20231029,1
2,20231105,1
2,20231112,1
2,20231119,1
2,20231126,1
2,20231203,1
2,20231210,1
2,20231217,1
2,20231224,1
2,20231231,1
2,20240107,1
2,20240114,1
2,20240121,1
2,20240128,1
2,20240204,1
2,20240211,1
2,20240218,1
2,20240225,1
2,20240303,1
2,20240310,1
2,20240317,1
2,20240324,1
3,20230927,1
3,20230928,1
3,20230929,1
3,20231002,1
3,20231003,1
3,20231004,1
3,20231005,1
3,20231006,1
3,20231009,1
3,20231010,1
3,20231011,1
3,20231012,1
3,20231013,1
3,20231016,1
3,20231017,1
3,20231018,1
3,20231019,1
3,20231020,1
3,20231023,1
3,20231024,1
3,20231025,1
3,20231026,1
3,20231027,1
3,20231030,1
3,20231031,1
3,20231101,1
3,20231102,1
3,20231103,1
3,20231106,1
3,20231107,1
3,20231108,1
3,20231109,1
3,20231110,1
3,20231113,1
3,20231114,1
3,20231115,1
3,20231116,1
3,20231117,1
3,20231120,1
3,20231121,1
3,20231122,1
3,20231123,1
3,20231124,1
3,20231127,1
3,20231128,1
3,20231129,1
3,20231130,1
3,20231201,1
3,20231204,1
3,20231205,1
3,20231206,1
3,20231207,1
3,20231208,1
3,20231211,1
3,20231212,1
3,20231213,1
3,20231214,1
3,20231215,1
3,20231218,1
3,20231219,1
3,20231220,1
3,20231221,1
3,20231222,1
3,20231225,1
3,20231226,1
3,20231227,1
3,20231228,1
3,20231229,1
3,20240101,1
3,20240102,1
3,20240103,1
3,20240104,1
3,20240105,1
3,20240108,1
3,20240109,1
3,20240110,1
3,20240111,1
3,20240112,1
3,20240115,1
3,20240116,1
3,20240117,1
3,20240118,1
3,20240119,1
3,20240122,1
3,20240123,1
3,20240124,1
3,20240125,1
3,20240126,1
3,20240129,1
3,20240130,1
3,20240131,1
3,20240201,1
3,20240202,1
3,20240205,1
3,20240206,1
3,20240207,1
3,20240208,1
3,20240209,1
3,20240212,1
3,20240213,1
3,20240214,1
3,20240215,1
3,20240216,1
3,20240219,1
3,20240220,1
3,20240221,1
3,20240222,1
3,20240223,1
3,20240226,1
3,20240227,1
3,20240228,1
3,20240229,1
3,20240301,1
3,20240304,1
3,20240305,1
3,20240306,1
3,20240307,1
3,20240308,1
3,20240311,1
3,20240312,1
3,20240313,1
3,20240314,1
3,20240315,1
3,20240318,1
3,20240319,1
3,20240320,1
3,20240321,1
3,20240322,1
4,20230927,1
4,20230928,1
4,20231002,1
4,20231003,1
4,20231004,1
4,20231005,1
4,20231009,1
4,20231010,1
4,20231011,1
4,20231012,1
4,20231016,1
4,20231017,1
4,20231018,1
4,20231019,1
4,20231023,1
4,20231024,1
4,20231025,1
4,20231026,1
4,20231030,1
4,20231031,1
4,20231101,1
4,20231102,1
4,20231106,1
4,20231107,1
4,20231108,1
4,20231109,1
4,20231113,1
4,20231114,1
4,20231115,1
4,20231116,1
4,20231120,1
4,20231121,1
4,20231122,1
4,20231123,1
4,20231127,1
4,20231128,1
4,20231129,1
4,20231130,1
4,20231204,1
4,20231205,1
4,20231206,1
4,20231207,1
4,20231211,1
4,20231212,1
4,20231213,1
4,20231214,1
4,20231218,1
4,20231219,1
4,20231220,1
4,20231221,1
4,20231225,1
4,20231226,1
4,20231227,1
4,20231228,1
4,20240101,1
4,20240102,1
4,20240103,1
4,20240104,1
4,20240108,1
4,20240109,1
4,20240110,1
4,20240111,1
4,20240115,1
4,20240116,1
4,20240117,1
4,20240118,1
4,20240122,1
4,20240123,1
4,20240124,1
4,20240125,1
4,20240129,1
4,20240130,1
4,20240131,1
4,20240201,1
4,20240205,1
4,20240206,1
4,20240207,1
4,20240208,1
4,20240212,1
4,20240213,1
4,20240214,1
4,20240215,1
4,20240219,1
4,20240220,1
4,20240221,1
4,20240222,1
4,20240226,1
4,20240227,1
4,20240228,1
4,20240229,1
4,20240304,1
4,20240305,1
4,20240306,1
4,20240307,1
4,20240311,1
4,20240312,1
4,20240313,1
4,20240314,1
4,20240318,1
4,20240319,1
4,20240320,1
4,20240321,1
5,20230929,1
5,20231006,1
5,20231013,1
5,20231020,1
5,20231027,1
5,20231103,1
5,20231110,1
5,20231117,1
5,20231124,1
5,20231201,1
5,20231208,1
5,20231215,1
5,20231222,1
5,20231229,1
5,20240105,1
5,20240112,1
5,20240119,1
5,20240126,1
5,20240202,1
5,20240209,1
